,date,portfolio_value,cash,positions_value,num_positions,daily_return
0,2019-05-20,100000,100000,0,0,
1,2019-05-21,100000,100000,0,0,0.0
2,2019-05-22,100000,100000,0,0,0.0
3,2019-05-23,100000,100000,0,0,0.0
4,2019-05-24,100000,100000,0,0,0.0
5,2019-05-27,100000,100000,0,0,0.0
6,2019-05-28,100000,100000,0,0,0.0
7,2019-05-29,100000,100000,0,0,0.0
8,2019-05-30,100000,100000,0,0,0.0
9,2019-05-31,100000,100000,0,0,0.0
10,2019-06-03,100000,100000,0,0,0.0
11,2019-06-04,100000,100000,0,0,0.0
12,2019-06-05,100000,100000,0,0,0.0
13,2019-06-06,100000,100000,0,0,0.0
14,2019-06-07,100000,100000,0,0,0.0
15,2019-06-10,100000,100000,0,0,0.0
16,2019-06-11,100000,100000,0,0,0.0
17,2019-06-12,100000,100000,0,0,0.0
18,2019-06-13,100000,100000,0,0,0.0
19,2019-06-14,100000,100000,0,0,0.0
20,2019-06-17,100000,100000,0,0,0.0
21,2019-06-18,100000,100000,0,0,0.0
22,2019-06-19,100000,100000,0,0,0.0
23,2019-06-20,100000,100000,0,0,0.0
24,2019-06-21,100000,100000,0,0,0.0
25,2019-06-24,100000,100000,0,0,0.0
26,2019-06-25,100000,100000,0,0,0.0
27,2019-06-26,100000,100000,0,0,0.0
28,2019-06-27,100000,100000,0,0,0.0
29,2019-06-28,100000,100000,0,0,0.0
30,2019-07-01,100000,100000,0,0,0.0
31,2019-07-02,100000,100000,0,0,0.0
32,2019-07-03,100000,100000,0,0,0.0
33,2019-07-04,100000,100000,0,0,0.0
34,2019-07-05,100000,100000,0,0,0.0
35,2019-07-08,100000,100000,0,0,0.0
36,2019-07-09,100000,100000,0,0,0.0
37,2019-07-10,100000,100000,0,0,0.0
38,2019-07-11,100000,100000,0,0,0.0
39,2019-07-12,100000,100000,0,0,0.0
40,2019-07-15,100000,100000,0,0,0.0
41,2019-07-16,100000,100000,0,0,0.0
42,2019-07-17,100000,100000,0,0,0.0
43,2019-07-18,100000,100000,0,0,0.0
44,2019-07-19,100000,100000,0,0,0.0
45,2019-07-22,100000,100000,0,0,0.0
46,2019-07-23,100000,100000,0,0,0.0
47,2019-07-24,100000,100000,0,0,0.0
48,2019-07-25,100000,100000,0,0,0.0
49,2019-07-26,100000,100000,0,0,0.0
50,2019-07-29,100000,100000,0,0,0.0
51,2019-07-30,100000,100000,0,0,0.0
52,2019-07-31,100000,100000,0,0,0.0
53,2019-08-01,100000,100000,0,0,0.0
54,2019-08-02,100000,100000,0,0,0.0
55,2019-08-05,100000,100000,0,0,0.0
56,2019-08-06,100000,100000,0,0,0.0
57,2019-08-07,100000,100000,0,0,0.0
58,2019-08-08,100000,100000,0,0,0.0
59,2019-08-09,100000,100000,0,0,0.0
60,2019-08-12,100000,100000,0,0,0.0
61,2019-08-13,100000,100000,0,0,0.0
62,2019-08-14,100000,100000,0,0,0.0
63,2019-08-15,100000,100000,0,0,0.0
64,2019-08-16,100000,100000,0,0,0.0
65,2019-08-19,100000,100000,0,0,0.0
66,2019-08-20,100000,100000,0,0,0.0
