nameOfIssuer,titleOfClass,cusip,value,shares,putCall,investmentDiscretion,va_sole,va_shared,va_none
ALLY FINL INC,COM,02005N100,498611260000,12719675,,DFND,12719675,0,0
ALLY FINL INC,COM,02005N100,109911900000,2803875,,DFND,2803875,0,0
ALLY FINL INC,COM,02005N100,165745440000,4228200,,DFND,4228200,0,0
ALLY FINL INC,COM,02005N100,122970400000,3137000,,DFND,3137000,0,0
ALLY FINL INC,COM,02005N100,189581000000,4836250,,DFND,4836250,0,0
ALLY FINL INC,COM,02005N100,49980000000,1275000,,DFND,1275000,0,0
ALPHABET INC,CAP STK CL A,02079K305,6219957000,25586,,DFND,25586,0,0
ALPHABET INC,CAP STK CL A,02079K305,4332177164000,17820556,,DFND,17820556,0,0
AMAZON COM INC,COM,023135106,1695958680000,7724000,,DFND,7724000,0,0
AMAZON COM INC,COM,023135106,499741320000,2276000,,DFND,2276000,0,0
AMERICAN EXPRESS CO,COM,025816109,381964735000,1149942,,DFND,1149942,0,0
AMERICAN EXPRESS CO,COM,025816109,49512116707000,149061045,,DFND,149061045,0,0
AMERICAN EXPRESS CO,COM,025816109,464928670000,1399713,,DFND,1399713,0,0
APPLE INC,COM,037833100,176203960000,692000,,DFND,692000,0,0
APPLE INC,COM,037833100,977779200000,3840000,,DFND,3840000,0,0
APPLE INC,COM,037833100,8657420000,34000,,DFND,34000,0,0
APPLE INC,COM,037833100,8841772120000,34724000,,DFND,34724000,0,0
APPLE INC,COM,037833100,693612120000,2724000,,DFND,2724000,0,0
APPLE INC,COM,037833100,3954913160000,15532000,,DFND,15532000,0,0
APPLE INC,COM,037833100,15670691034000,61542988,,DFND,61542988,0,0
APPLE INC,COM,037833100,1834354520000,7204000,,DFND,7204000,0,0
APPLE INC,COM,037833100,3685005360000,14472000,,DFND,14472000,0,0
APPLE INC,COM,037833100,23161087763000,90959776,,DFND,90959776,0,0
APPLE INC,COM,037833100,690556560000,2712000,,DFND,2712000,0,0
APPLE INC,COM,037833100,961482880000,3776000,,DFND,3776000,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,4500745000,108217,,DFND,108217,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,4028699000,96867,,DFND,96867,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,620897000,14929,,DFND,14929,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,151055000,3632,,DFND,3632,0,0
BANK AMER CORP,COM,060505104,202232800000,3920000,,DFND,3920000,0,0
BANK AMER CORP,COM,060505104,613921000000,11900000,,DFND,11900000,0,0
BANK AMER CORP,COM,060505104,7506345000,145500,,DFND,145500,0,0
BANK AMER CORP,COM,060505104,4265693974000,82684512,,DFND,82684512,0,0
BANK AMER CORP,COM,060505104,108339000000,2100000,,DFND,2100000,0,0
BANK AMER CORP,COM,060505104,1083390000000,21000000,,DFND,21000000,0,0
BANK AMER CORP,COM,060505104,16034172000000,310800000,,DFND,310800000,0,0
BANK AMER CORP,COM,060505104,6485894800000,125720000,,DFND,125720000,0,0
BANK AMER CORP,COM,060505104,505582000000,9800000,,DFND,9800000,0,0
CAPITAL ONE FINL CORP,COM,14040H105,412237900000,1939213,,DFND,1939213,0,0
CAPITAL ONE FINL CORP,COM,14040H105,653425640000,3073787,,DFND,3073787,0,0
CAPITAL ONE FINL CORP,COM,14040H105,454283460000,2137000,,DFND,2137000,0,0
CHARTER COMMUNICATIONS INC N,CL A,16119P108,291853943000,1060882,,DFND,1060882,0,0
CHEVRON CORP NEW,COM,166764100,536411725000,3454258,,DFND,3454258,0,0
CHEVRON CORP NEW,COM,166764100,2727513715000,17564001,,DFND,17564001,0,0
CHEVRON CORP NEW,COM,166764100,9534806000,61400,,DFND,61400,0,0
CHEVRON CORP NEW,COM,166764100,324866680000,2092000,,DFND,2092000,0,0
CHEVRON CORP NEW,COM,166764100,5049597230000,32517208,,DFND,32517208,0,0
CHEVRON CORP NEW,COM,166764100,443880936000,2858400,,DFND,2858400,0,0
CHEVRON CORP NEW,COM,166764100,9562684437000,61579525,,DFND,61579525,0,0
CHEVRON CORP NEW,COM,166764100,300952020000,1938000,,DFND,1938000,0,0
COCA COLA CO,COM,191216100,53056000000,800000,,DFND,800000,0,0
