nameOfIssuer,titleOfClass,cusip,value,shares,putCall,investmentDiscretion,va_sole,va_shared,va_none
ALLY FINL INC,COM,02005N100,463886547000,12719675,,DFND,12719675,0,0
ALLY FINL INC,COM,02005N100,102257321000,2803875,,DFND,2803875,0,0
ALLY FINL INC,COM,02005N100,154202454000,4228200,,DFND,4228200,0,0
ALLY FINL INC,COM,02005N100,114406390000,3137000,,DFND,3137000,0,0
ALLY FINL INC,COM,02005N100,176378038000,4836250,,DFND,4836250,0,0
ALLY FINL INC,COM,02005N100,46499250000,1275000,,DFND,1275000,0,0
AMAZON COM INC,COM,023135106,1469568240000,7724000,,DFND,7724000,0,0
AMAZON COM INC,COM,023135106,433031760000,2276000,,DFND,2276000,0,0
AMERICAN EXPRESS CO,COM,025816109,309391895000,1149942,,DFND,1149942,0,0
AMERICAN EXPRESS CO,COM,025816109,40104874157000,149061045,,DFND,149061045,0,0
AMERICAN EXPRESS CO,COM,025816109,376592783000,1399713,,DFND,1399713,0,0
APPLE INC,COM,037833100,153713960000,692000,,DFND,692000,0,0
APPLE INC,COM,037833100,852979200000,3840000,,DFND,3840000,0,0
APPLE INC,COM,037833100,7552420000,34000,,DFND,34000,0,0
APPLE INC,COM,037833100,7713242120000,34724000,,DFND,34724000,0,0
APPLE INC,COM,037833100,605082120000,2724000,,DFND,2724000,0,0
APPLE INC,COM,037833100,3450123160000,15532000,,DFND,15532000,0,0
APPLE INC,COM,037833100,13670543924000,61542988,,DFND,61542988,0,0
APPLE INC,COM,037833100,1600224520000,7204000,,DFND,7204000,0,0
APPLE INC,COM,037833100,3214665360000,14472000,,DFND,14472000,0,0
APPLE INC,COM,037833100,33929693776000,152747012,,DFND,152747012,0,0
APPLE INC,COM,037833100,602416560000,2712000,,DFND,2712000,0,0
APPLE INC,COM,037833100,838762880000,3776000,,DFND,3776000,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,4329762000,108217,,DFND,108217,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,3875649000,96867,,DFND,96867,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,597309000,14929,,DFND,14929,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,145316000,3632,,DFND,3632,0,0
BANK AMER CORP,COM,060505104,163581600000,3920000,,DFND,3920000,0,0
BANK AMER CORP,COM,060505104,496587000000,11900000,,DFND,11900000,0,0
BANK AMER CORP,COM,060505104,6071715000,145500,,DFND,145500,0,0
BANK AMER CORP,COM,060505104,5842200000000,140000000,,DFND,140000000,0,0
BANK AMER CORP,COM,060505104,233688000000,5600000,,DFND,5600000,0,0
BANK AMER CORP,COM,060505104,87633000000,2100000,,DFND,2100000,0,0
BANK AMER CORP,COM,060505104,876330000000,21000000,,DFND,21000000,0,0
BANK AMER CORP,COM,060505104,12969684000000,310800000,,DFND,310800000,0,0
BANK AMER CORP,COM,060505104,5246295600000,125720000,,DFND,125720000,0,0
BANK AMER CORP,COM,060505104,24538534000,588031,,DFND,588031,0,0
BANK AMER CORP,COM,060505104,408954000000,9800000,,DFND,9800000,0,0
CAPITAL ONE FINL CORP,COM,14040H105,347700891000,1939213,,DFND,1939213,0,0
CAPITAL ONE FINL CORP,COM,14040H105,551130009000,3073787,,DFND,3073787,0,0
CAPITAL ONE FINL CORP,COM,14040H105,383164100000,2137000,,DFND,2137000,0,0
