nameOfIssuer,titleOfClass,cusip,value,shares,putCall,investmentDiscretion,va_sole,va_shared,va_none
3M CO,COM,88579Y101,204608000,1585,,SOLE,1585,0,0
AAON INC,COM PAR $0.004,000360206,384578000,3268,,SOLE,3268,0,0
ABBOTT LABS,COM,002824100,21686128000,191726,,SOLE,191726,0,0
ABBVIE INC,COM,00287Y109,50886705000,286363,,SOLE,286363,0,0
ABERCROMBIE & FITCH CO,CL A,002896207,40976154000,274143,,SOLE,274143,0,0
ACADEMY SPORTS & OUTDOORS IN,COM,00402L107,1016785000,17674,,SOLE,17674,0,0
ACADIA HEALTHCARE COMPANY IN,COM,00404A109,392297000,9894,,SOLE,9894,0,0
ACCENTURE PLC IRELAND,SHS CLASS A,G1151C101,389783000,1108,,SOLE,1108,0,0
ACI WORLDWIDE INC,COM,004498101,236710000,4560,,SOLE,4560,0,0
ACUITY BRANDS INC,COM,00508Y102,696146000,2383,,SOLE,2383,0,0
ADAPTHEALTH CORP,COMMON STOCK,00653Q102,111146000,11675,,SOLE,11675,0,0
ADDUS HOMECARE CORP,COM,006739106,260101000,2075,,SOLE,2075,0,0
ADOBE INC,COM,00724F101,104835978000,235756,,SOLE,235756,0,0
ADT INC DEL,COM,00090Q103,3866953000,559617,,SOLE,559617,0,0
ADTALEM GLOBAL ED INC,COM,00737L103,6096671000,67107,,SOLE,67107,0,0
ADVANCED MICRO DEVICES INC,COM,007903107,217138747000,1797655,,SOLE,1797655,0,0
AFFILIATED MANAGERS GROUP IN,COM,008252108,12923134000,69885,,SOLE,69885,0,0
AGILON HEALTH INC,COM,00857U107,46624000,24539,,SOLE,24539,0,0
AGNICO EAGLE MINES LTD,COM,008474108,32478736000,415276,,SOLE,415276,0,0
AIR PRODS & CHEMS INC,COM,009158106,213179000,735,,SOLE,735,0,0
AIRBNB INC,COM CL A,009066101,45028294000,342655,,SOLE,342655,0,0
AKAMAI TECHNOLOGIES INC,COM,00971T101,3498590000,36577,,SOLE,36577,0,0
ALAMOS GOLD INC NEW,COM CL A,011532108,5169506000,280342,,SOLE,280342,0,0
ALBERTSONS COS INC,COMMON STOCK,013091103,1530761000,77941,,SOLE,77941,0,0
ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,21623400000,255023,,SOLE,255023,0,0
ALIGN TECHNOLOGY INC,COM,016255101,1577587000,7566,,SOLE,7566,0,0
ALLISON TRANSMISSION HLDGS I,COM,01973R101,10945938000,101295,,SOLE,101295,0,0
ALLSTATE CORP,COM,020002101,73550735000,381507,,SOLE,381507,0,0
ALLY FINL INC,COM,02005N100,7644959000,212301,,SOLE,212301,0,0
ALNYLAM PHARMACEUTICALS INC,COM,02043Q107,1518220000,6452,,SOLE,6452,0,0
ALPHABET INC,CAP STK CL A,02079K305,685513604000,3621308,,SOLE,3621308,0,0
ALTRIA GROUP INC,COM,02209S103,139893895000,2675347,,SOLE,2675347,0,0
AMAZON COM INC,COM,023135106,201791851000,919786,,SOLE,919786,0,0
AMDOCS LTD,SHS,G02602103,20560544000,241491,,SOLE,241491,0,0
AMEDISYS INC,COM,023436108,334652000,3686,,SOLE,3686,0,0
