nameOfIssuer,titleOfClass,cusip,value,shares,putCall,investmentDiscretion,va_sole,va_shared,va_none
ALPHABET INC,CAP STK CL C,02079K107,1540217750000,6324031,,SOLE,6324031,0,0
ALPHABET INC,CAP STK CL A,02079K305,1177569836000,4843973,,SOLE,4843973,0,0
AMAZON COM INC,COM,023135106,1278625494000,5823316,,SOLE,5823316,0,0
BROOKFIELD CORP,CL A LTD VT SH,11271J107,2813167442000,41020231,,SOLE,41020231,0,0
CHIPOTLE MEXICAN GRILL INC,COM,169656105,844198727000,21541177,,SOLE,21541177,0,0
HERTZ GLOBAL HLDGS INC,COM NEW,42806J700,103639664000,15241127,,SOLE,15241127,0,0
HILTON WORLDWIDE HLDGS INC,COM,43300A203,786253156000,3030578,,SOLE,3030578,0,0
HOWARD HUGHES HOLDINGS INC,COM,44267T102,1549074099000,18852064,,SOLE,18852064,0,0
RESTAURANT BRANDS INTL INC,COM,76131D103,1469799913000,22915496,,SOLE,22915496,0,0
SEAPORT ENTMT GROUP INC,COMMON STOCK,812215200,115145038000,5023780,,SOLE,5023780,0,0
UBER TECHNOLOGIES INC,COM,90353T100,2965602648000,30270518,,SOLE,30270518,0,0
