nameOfIssuer,titleOfClass,cusip,value,shares,putCall,investmentDiscretion,va_sole,va_shared,va_none
10X GENOMICS INC,CL A COM,88025U109,6019815000,689555,,SOLE,689555,0,0
111 INC,SPONSORED ADS,68247Q201,103922000,12814,,SOLE,12814,0,0
17 ED & TECHNOLOGY GROUP INC,SPONSORED ADR,81807M304,40762000,21230,,SOLE,21230,0,0
1STDIBS COM INC,COM,320551104,797696000,262400,,SOLE,262400,0,0
1ST SOURCE CORP,COM,336901103,9845563000,164614,,SOLE,164614,0,0
3-D SYS CORP DEL,COM NEW,88554D205,349058000,164650,,SOLE,164650,0,0
4D MOLECULAR THERAPEUTICS IN,COM,35104E100,63156000,19553,,SOLE,19553,0,0
51TALK ONLINE EDUCATION GROU,SPONSORED ADR,16954L204,923377000,45175,,SOLE,45175,0,0
89BIO INC,COM,282559103,3666261000,504300,,SOLE,504300,0,0
8X8 INC NEW,COM,282914100,826512000,413256,,SOLE,413256,0,0
908 DEVICES INC,COM,65443P102,647808000,144600,,SOLE,144600,0,0
A10 NETWORKS INC,COM,002121101,38502056000,2356307,,SOLE,2356307,0,0
AAR CORP,COM,000361105,2142177000,38260,,SOLE,38260,0,0
ABACUS GLOBAL MGMT INC,CL A,00258Y104,1259069000,168100,,SOLE,168100,0,0
ABBVIE INC,COM,00287Y109,256053973000,1222098,,SOLE,1222098,0,0
ABCELLERA BIOLOGICS INC,COM,00288U106,6453685000,2894029,,SOLE,2894029,0,0
ABEONA THERAPEUTICS INC,COM NEW,00289Y206,626116000,131537,,SOLE,131537,0,0
ABERCROMBIE & FITCH CO,CL A,002896207,92072436000,1205610,,SOLE,1205610,0,0
ABM INDS INC,COM,000957100,2363264000,49900,,SOLE,49900,0,0
ABRDN PLATINUM ETF TRUST,PHYSCL PLATM SHS,003260106,2558360000,28000,,SOLE,28000,0,0
ABRDN SILVER ETF TRUST,PHYSCL SILVR SHS,003264108,2509772000,77200,,SOLE,77200,0,0
ACACIA RESH CORP,ACACIA TCH COM,003881307,5050560000,1578300,,SOLE,1578300,0,0
ACADIAN ASSET MANAGEMENT INC,COM,10948W103,1735930000,67128,,SOLE,67128,0,0
ACADIA PHARMACEUTICALS INC,COM,004225108,24533518000,1477033,,SOLE,1477033,0,0
ACADIA RLTY TR,COM SH BEN INT,004239109,4820595000,230100,,SOLE,230100,0,0
ACCEL ENTERTAINMENT INC,COM CL A1,00436Q106,7878514000,794205,,SOLE,794205,0,0
ACCELERATE DIAGNOSTICS INC,COM NEW,00430H201,45004000,64200,,SOLE,64200,0,0
ACCENTURE PLC IRELAND,SHS CLASS A,G1151C101,98791864000,316600,,SOLE,316600,0,0
ACCESS NEWSWIRE INC,COM NEW,46520M204,282896000,32038,,SOLE,32038,0,0
ACCO BRANDS CORP,COM,00081T108,2620426000,625400,,SOLE,625400,0,0
ACCOLADE INC,COM,00437E102,2921723000,418585,,SOLE,418585,0,0
ACCURAY INC,COM,004397105,4874857000,2723384,,SOLE,2723384,0,0
ACELYRIN INC,COM,00445A100,1481506000,599800,,SOLE,599800,0,0
ACHIEVE LIFE SCIENCES INC,COM,004468500,234656000,87886,,SOLE,87886,0,0
AC IMMUNE SA,SHS,H00263105,1502487000,803469,,SOLE,803469,0,0
ACLARIS THERAPEUTICS INC,COM,00461U105,1455633000,951394,,SOLE,951394,0,0
ACME UTD CORP,COM,004816104,4820814000,121707,,SOLE,121707,0,0
ACNB CORP,COM,000868109,714373000,17356,,SOLE,17356,0,0
ACRES COMMERCIAL REALTY CORP,COM NEW,00489Q102,272912000,12594,,SOLE,12594,0,0
ACRIVON THERAPEUTICS INC,COMMON STOCK,004890109,105763000,52100,,SOLE,52100,0,0
ACTINIUM PHARMACEUTICALS INC,COM,00507W206,92736000,57600,,SOLE,57600,0,0
ACUITY INC,COM,00508Y102,8795890000,33400,,SOLE,33400,0,0
ACUMEN PHARMACEUTICALS INC,COM,00509G209,282370000,256700,,SOLE,256700,0,0
ACURX PHARMACEUTICALS INC,COM,00510M104,10374000,26600,,SOLE,26600,0,0
ACUSHNET HLDGS CORP,COM,005098108,2024989000,29493,,SOLE,29493,0,0
ADAPTHEALTH CORP,COMMON STOCK,00653Q102,4470037000,412365,,SOLE,412365,0,0
ADAPTIMMUNE THERAPEUTICS PLC,SPONDS ADR,00653A107,357331000,1813860,,SOLE,1813860,0,0
ADAPTIVE BIOTECHNOLOGIES COR,COM,00650F109,786726000,105885,,SOLE,105885,0,0
ADDUS HOMECARE CORP,COM,006739106,11728354000,118600,,SOLE,118600,0,0
ADEIA INC,COM,00676P107,10865254000,821880,,SOLE,821880,0,0
ADICET BIO INC,COM,007002108,612079000,810700,,SOLE,810700,0,0
ADMA BIOLOGICS INC,COM,000899104,70411922000,3548988,,SOLE,3548988,0,0
ADOBE INC,COM,00724F101,22031506000,57444,,SOLE,57444,0,0
ADTALEM GLOBAL ED INC,COM,00737L103,21104208000,209700,,SOLE,209700,0,0
ADT INC DEL,COM,00090Q103,44498173000,5466606,,SOLE,5466606,0,0
ADTRAN HOLDINGS INC,COM,00486H105,7134085000,818129,,SOLE,818129,0,0
ADVANCED ENERGY INDS,COM,007973100,1479402000,15522,,SOLE,15522,0,0
ADVANCED FLOWER CAP INC,COM,00109K105,735797000,132100,,SOLE,132100,0,0
ADVANCED MICRO DEVICES INC,COM,007903107,328335465000,3195790,,SOLE,3195790,0,0
ADVANTAGE SOLUTIONS INC,COM CL A,00791N102,998412000,661200,,SOLE,661200,0,0
ADVERUM BIOTECHNOLOGIES INC,COM NEW,00773U207,697317000,159569,,SOLE,159569,0,0
AECOM,COM,00766T100,32119539000,346377,,SOLE,346377,0,0
AEROVATE THERAPEUTICS INC,COM,008064107,135540000,54000,,SOLE,54000,0,0
AERSALE CORPORATION,COM,00810F106,522802000,69800,,SOLE,69800,0,0
AFFILIATED MANAGERS GROUP IN,COM,008252108,7897410000,47000,,SOLE,47000,0,0
AFFINITY BANCSHARES INC,COM,00832E103,1109538000,62474,,SOLE,62474,0,0
AFFIRM HLDGS INC,COM CL A,00827B106,37006091000,818900,,SOLE,818900,0,0
AFLAC INC,COM,001055102,5326001000,47900,,SOLE,47900,0,0
AFYA LTD,CL A COM,G01125106,6352599000,354300,,SOLE,354300,0,0
AGF INVTS TR,US MARKET NETRL,00110G408,1203114000,57731,,SOLE,57731,0,0
