ticker,shares,price,notional,fee,date
SPY,148.9576073942631,582.02,86696.306655609,86.696306655609,2025-03-03
META,109.83511735088975,655.05,71947.49362070032,71.94749362070031,2025-03-03
KHC,2190.827825570373,31.32,68616.72749686408,68.61672749686409,2025-03-03
GOOGL,389.6684342844992,167.01,65078.525209854204,65.0785252098542,2025-03-03
BN,1682.2000000919654,37.6073,63263.000063458574,63.26300006345858,2025-03-03
CMG,882.0856190094004,54.33,47923.71168078072,47.92371168078072,2025-03-03
QSR,725.1426244236277,64.83,47010.99634138378,47.01099634138379,2025-03-03
NKE,581.6924231467465,78.41,45610.50289893639,45.610502898936396,2025-03-03
HHH,585.9947777586073,77.48,45402.87538073689,45.402875380736894,2025-03-03
GOOG,266.8327263140914,168.66,45004.00762013466,45.00400762013466,2025-03-03
HLT,160.7248633139046,263.58,42363.85947227897,42.363859472278975,2025-03-03
MSFT,99.5690272303191,388.49,38681.57138870667,38.681571388706665,2025-03-03
CP,451.6834240047019,75.82,34246.637208036496,34.246637208036496,2025-03-03
NVDA,268.4355533234855,114.06,30617.75921207676,30.61775921207676,2025-03-03
APO,209.5279488466768,144.58,30293.55084425253,30.293550844252533,2025-03-03
AMZN,136.8442748637318,205.02,28055.813232562297,28.055813232562297,2025-03-03
SE,218.76092433215715,123.49,27014.786545778086,27.014786545778087,2025-03-03
SPY,-1.3159777337898464,560.97,738.2240293240901,0.7382240293240901,2025-04-01
META,7.456216030173426,586.0,4369.3425936816275,4.369342593681628,2025-04-01
KHC,-30.287904881163307,30.34,918.9350340944948,0.9189350340944948,2025-04-01
GOOGL,6.146639039237064,157.07,965.4525938929655,0.9654525938929656,2025-04-01
BN,6.308273305933687,35.7927,225.7901339572927,0.22579013395729272,2025-04-01
CMG,3.9676969844538865,51.67,205.01090318673232,0.20501090318673232,2025-04-01
QSR,-56.533995171948376,67.17,3797.3884556997727,3.797388455699773,2025-04-01
NKE,91.1384186028245,64.76,5902.123988718915,5.902123988718915,2025-04-01
HHH,1.0947599739428404,73.88,80.88086687489705,0.08088086687489705,2025-04-01
GOOG,3.768542416455163,158.88,598.7460191263963,0.5987460191263962,2025-04-01
HLT,17.341614397093256,227.28,3941.4021201713554,3.9414021201713556,2025-04-01
MSFT,-2.8810089641668273,382.19,1101.0928160149197,1.1010928160149196,2025-04-01
CP,8.786979007946428,71.05,624.3148585145937,0.6243148585145937,2025-04-01
NVDA,-2.891382751906986,110.15,318.48581012255454,0.31848581012255456,2025-04-01
APO,-0.378795391538957,138.37,52.41391832724548,0.052413918327245484,2025-04-01
AMZN,2.6271191632455477,192.17,504.85348960089686,0.5048534896008968,2025-04-01
SE,-23.926963397349688,132.46,3169.3655716129397,3.1693655716129396,2025-04-01
OXY,275278.6693105501,0.308,84785.83014764942,84.78583014764942,2025-05-01
SPY,-0.5798359149551611,558.47,323.8209634250088,0.3238209634250088,2025-05-01
META,1.8217143280200414,572.21,1042.403155636348,1.042403155636348,2025-05-01
KHC,120.24457737857199,28.5,3426.9704552893018,3.4269704552893017,2025-05-01
GOOGL,-13.604720898907189,161.3,2194.44148099373,2.19444148099373,2025-05-01
BN,-22.801320144374692,35.9791,820.3709776064716,0.8203709776064716,2025-05-01
CMG,16.159361168294293,50.32,813.1390539885688,0.8131390539885688,2025-05-01
QSR,13.915564345029072,65.25,907.990573513147,0.9079905735131469,2025-05-01
NKE,88.40913074051518,56.76,5018.102260831642,5.0181022608316415,2025-05-01
HHH,59.30796826333812,66.54,3946.352208242519,3.946352208242519,2025-05-01
GOOG,-8.709060671786528,162.79,1417.7479867601287,1.4177479867601288,2025-05-01
HLT,-6.626631674946813,234.09,1551.2282087882995,1.5512282087882996,2025-05-01
MSFT,-10.547846434402608,425.4,4487.053873194869,4.487053873194869,2025-05-01
CP,-14.399950827090858,72.73,1047.3084236543182,1.0473084236543182,2025-05-01
NVDA,-5.666236242738026,111.61,632.4086270519911,0.6324086270519911,2025-05-01
APO,-1.0278576474318146,137.89,141.7312910043729,0.1417312910043729,2025-05-01
AMZN,0.26562041796413555,190.2,50.521003496778576,0.05052100349677858,2025-05-01
SE,-8.454314250668512,137.31,1160.8618897592935,1.1608618897592935,2025-05-01
NKE,-761.2399724900861,61.57,46869.5451062146,46.8695451062146,2025-06-02
APO,-208.12129580770605,130.52,27163.991528821796,27.163991528821796,2025-06-02
OXY,30999.661716287836,0.308,9547.895808616653,9.547895808616653,2025-06-02
META,-6.429638124745968,670.9,4313.64421789207,4.31364421789207,2025-06-02
BN,243.0128051673488,38.4672,9348.02217893344,9.348022178933439,2025-06-02
KHC,415.5754851732343,26.63,11066.77517016323,11.066775170163229,2025-06-02
GOOGL,-5.605626890948172,169.03,947.5191133769696,0.9475191133769696,2025-06-02
SPY,-54.32701271649783,592.71,32200.163707195432,32.20016370719543,2025-06-02
UBER,644.5942633591515,83.64,53913.86418735943,53.91386418735943,2025-06-02
QSR,50.580760510639976,72.0,3641.814756766078,3.6418147567660784,2025-06-02
HHH,80.74445323455927,67.37,5439.753814412258,5.439753814412258,2025-06-02
MSFT,6.828452417445197,461.97,3154.540163287158,3.154540163287158,2025-06-02
CMG,-42.78937573202299,49.84,2132.622486484026,2.132622486484026,2025-06-02
GOOG,-26.50999708207838,170.37,4516.508202873694,4.516508202873695,2025-06-02
CP,9.274996172264062,81.37,754.7064385371268,0.7547064385371268,2025-06-02
SE,10.739824653857866,165.1,1773.1450503519336,1.7731450503519337,2025-06-02
HLT,-45.18491924354329,249.13,11256.91893114394,11.256918931143941,2025-06-02
AMZN,-1.7372658520679496,206.65,359.0059883298418,0.3590059883298418,2025-06-02
NVDA,-56.78674971300457,137.38,7801.363675572567,7.801363675572568,2025-06-02
V,69.6146751728065,365.32,25431.63313412967,25.431633134129672,2025-06-02
OXY,10207.369660614646,0.308,3143.869855469311,3.143869855469311,2025-06-30
META,-6.844277263937132,738.09,5051.6926057393575,5.051692605739357,2025-06-30
BN,-66.96252671229122,41.1944,2758.4811103968095,2.7584811103968097,2025-06-30
KHC,177.26851831263713,25.82,4577.073142832291,4.57707314283229,2025-06-30
