symbol,name,reportDate,fiscalDateEnding,estimate,currency,timeOfTheDay
HD,HOME DEPOT INC,2026-05-19,2026-04-30,3.42,USD,pre-market
NVDA,NVIDIA CORP,2026-05-20,2026-04-30,1.7,USD,post-market
WMT,WALMART INC,2026-05-21,2026-04-30,0.65,USD,pre-market
CRM,SALESFORCE INC,2026-05-27,2026-04-30,2.3,USD,post-market
COST,COSTCO WHOLESALE CORPORATION,2026-05-28,2026-05-31,4.91,USD,post-market
AVGO,BROADCOM INC,2026-06-03,2026-04-30,2.02,USD,post-market
ADBE,ADOBE INC,2026-06-11,2026-05-31,4.74,USD,post-market
ACN,ACCENTURE PLC - CLASS A,2026-06-18,2026-05-31,3.68,USD,pre-market
NKE,NIKE INC - CLASS B,2026-06-25,2026-05-31,0.14,USD,
JPM,JPMORGAN CHASE & COMPANY,2026-07-14,2026-06-30,5.4,USD,
JNJ,JOHNSON & JOHNSON,2026-07-15,2026-06-30,2.84,USD,
ABT,ABBOTT LABORATORIES,2026-07-16,2026-06-30,1.28,USD,
NFLX,NETFLIX INC,2026-07-16,2026-06-30,0.79,USD,
DHR,DANAHER CORP,2026-07-21,2026-06-30,1.83,USD,
VZ,VERIZON COMMUNICATIONS INC,2026-07-21,2026-06-30,1.28,USD,
TSLA,TESLA INC,2026-07-22,2026-06-30,0.47,USD,
UNH,UNITEDHEALTH GROUP INC,2026-07-28,2026-06-30,4.85,USD,
V,VISA INC - CLASS A,2026-07-28,2026-06-30,3.22,USD,
META,META PLATFORMS INC - CLASS A,2026-07-29,2026-06-30,7.48,USD,
PG,PROCTER & GAMBLE COMPANY,2026-07-29,2026-06-30,1.42,USD,
AAPL,APPLE INC,2026-07-30,2026-06-30,1.89,USD,
MA,MASTERCARD INCORPORATED - CLASS A,2026-07-30,2026-06-30,4.76,USD,
CVX,CHEVRON CORP,2026-07-31,2026-06-30,4.94,USD,
XOM,EXXON MOBIL CORP,2026-07-31,2026-06-30,3.63,USD,
AMD,ADVANCED MICRO DEVICES INC,2026-08-04,2026-06-30,1.61,USD,
MRK,MERCK & CO INC,2026-08-04,2026-06-30,,USD,
MCD,MCDONALD`S CORP,2026-08-06,2026-06-30,3.34,USD,
