executed_at                 symbol  shares  matched_intent
--------------------------  ------  ------  --------------
2026-05-21T23:18:57.509528  XLV     11.0
2026-05-18T22:28:19.511372  AMD     1.0
2026-05-18T22:28:18.582998  UNH     5.0
2026-05-18T22:28:18.458461  TSLA    2.0
2026-05-18T22:28:18.329729  NVDA    4.0
2026-05-18T22:28:18.199225  AMD     8.0
2026-05-12T22:30:41.210440  XLK     13.0
2026-05-12T22:30:41.058264  NFLX    24.0
2026-05-12T22:30:40.900370  AAPL    16.0
2026-05-11T22:33:45.079431  ABT     22.0
2026-05-11T22:33:43.934546  GOOGL   5.0
2026-05-06T22:16:40.517630  AMD     10.0
2026-05-06T22:16:38.899546  NFLX    18.0
2026-05-06T22:16:38.775156  DHR     9.0
2026-05-05T22:20:28.004808  VZ      36.0
2026-05-05T22:20:27.860269  UNH     12.0
2026-05-05T22:20:27.709881  GOOGL   5.0
2026-05-05T22:20:27.566286  ABT     16.0
2026-05-04T22:29:32.609435  AVGO    3.0
